66.776 280.83 0
99.202 308.48 0
151.96 330.5 0
208.02 332.19 0
264.08 313 0
298.71 280.83 0
314.09 240.18 0
319.04 197.85 0
315.19 150.43 0
286.62 108.1 0
238.25 81.002 -60
189.34 70.277 -90
128.33 74.228 -120
91.508 101.32 -150
70.623 140.84 -180
51.387 195.03 -210
51.937 245.26 -240
108.55 311.31 -240
160.76 324.85 -240
217.92 312.44 -240
248.14 264.46 -240
248.14 212.52 -180
229.46 165.67 -120
178.89 180.35 -60
181.64 204.06 0
195.93 196.15 60
193.73 181.48 120
183.29 189.95 180
189.89 193.33 240
